STATISTIC,Statistic Label,TLIST(A1),Year,C02479V04377,Garda Region,C02480V03003,Type of Offence,UNIT,VALUE
RCD06C01,Recorded crime incidents,2019,2019,IE0,State,6,"Robbery, extortion and hijacking offences ",Number,2344
RCD06C01,Recorded crime incidents,2019,2019,IE0,State,7,Burglary and related offences ,Number,16750
RCD06C01,Recorded crime incidents,2019,2019,IE0,State,8,Theft and related offences ,Number,68195
RCD06C01,Recorded crime incidents,2019,2019,IE0,State,9,"Fraud, deception and related offences ",Number,7930
RCD06C01,Recorded crime incidents,2019,2019,IE0,State,10,Controlled drug offences ,Number,21309
RCD06C01,Recorded crime incidents,2019,2019,IE0,State,11,Weapons and explosives offences ,Number,2689
RCD06C01,Recorded crime incidents,2019,2019,IE0,State,12,Damage to property and to the environment  offences ,Number,21916
RCD06C01,Recorded crime incidents,2019,2019,IE0,State,13,Public order and other social code offences ,Number,32390
RCD06C01,Recorded crime incidents,2019,2019,IE0,State,15,"Offences against government, justice procedures and organisation of crime ",Number,18119
RCD06C01,Recorded crime incidents,2020,2020,10,Dublin Metropolitan Region,1,Homicide & related offences ,Number,25
RCD06C01,Recorded crime incidents,2020,2020,10,Dublin Metropolitan Region,2,Sexual offences ,Number,955
RCD06C01,Recorded crime incidents,2020,2020,10,Dublin Metropolitan Region,3,"Attempts/threats to murder, assaults, harassments and related offences ",Number,6674
RCD06C01,Recorded crime incidents,2020,2020,10,Dublin Metropolitan Region,4,Dangerous or negligent acts ,Number,2428
RCD06C01,Recorded crime incidents,2020,2020,10,Dublin Metropolitan Region,5,Kidnapping and related offences ,Number,53
RCD06C01,Recorded crime incidents,2020,2020,10,Dublin Metropolitan Region,6,"Robbery, extortion and hijacking offences ",Number,1272
RCD06C01,Recorded crime incidents,2020,2020,10,Dublin Metropolitan Region,7,Burglary and related offences ,Number,5144
RCD06C01,Recorded crime incidents,2020,2020,10,Dublin Metropolitan Region,8,Theft and related offences ,Number,27625
RCD06C01,Recorded crime incidents,2020,2020,10,Dublin Metropolitan Region,9,"Fraud, deception and related offences ",Number,3292
RCD06C01,Recorded crime incidents,2020,2020,10,Dublin Metropolitan Region,10,Controlled drug offences ,Number,9631
RCD06C01,Recorded crime incidents,2020,2020,10,Dublin Metropolitan Region,11,Weapons and explosives offences ,Number,1358
RCD06C01,Recorded crime incidents,2020,2020,10,Dublin Metropolitan Region,12,Damage to property and to the environment  offences ,Number,7850
RCD06C01,Recorded crime incidents,2020,2020,10,Dublin Metropolitan Region,13,Public order and other social code offences ,Number,11479
RCD06C01,Recorded crime incidents,2020,2020,10,Dublin Metropolitan Region,15,"Offences against government, justice procedures and organisation of crime ",Number,5169
RCD06C01,Recorded crime incidents,2020,2020,20,North Western Region,1,Homicide & related offences ,Number,14
RCD06C01,Recorded crime incidents,2020,2020,20,North Western Region,2,Sexual offences ,Number,621
